id	deposited_file	classification	n_rows	n_columns	n_raw_expected	row_match	has_source_name	has_assay_name	has_data_file	has_template_declaration	missing_core_columns	action
PXD029913	SDRF.txt	full	21	31	21	yes	yes	yes	yes	no	technology type;comment[fraction identifier];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD033871	SDRF.tsv	full	30	27	30	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD040358	SDRF-22022023.txt	full	34	15	34	yes	yes	yes	yes	no	comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD047766	sdrfOVS.txt	full	34	17	32	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD050661	SDRF.tsv	full	25	13	25	yes	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD051022	SDRF.tsv	full	34	15	36	no	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD053568	sdrf_5xFAD_DIA.tsv	full	10	15	20	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD058169	SDRF.tsv	full	36	17	36	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD058185	SDRF.sdrf	full	25	23	24	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD063595	sdrf-cell-line.sdrf.tsv	full	8	18	24	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD071231	SDRF.Thbs1.CKO.WT.Proteomics.txt	full	36	16	37	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD076440	SDRF.sdrf.tsv	full	32	21	1	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD076605	metadata_LepWed.sdrf.tsv	full	34	24	40	no	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD057643	SDRF.txt	legacy-case	24	10	24	yes	yes	yes	no	no	characteristics[organism];technology type;comment[data file];comment[technical replicate];comment[instrument];comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD054360	Panc1_HLAp_HPH_RP_Library_FragPipe_SDRF.tsv	partial-technical	18	12	36	no	no	no	yes	no	source name;characteristics[organism];assay name;technology type;comment[sdrf version]	author the sample section from PRIDE and the publication, then validate
PXD048344	SDRF.txt	not-sdrf	23	2	23	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD058728	SDRF.tsv	not-sdrf	35	10	35	yes	yes	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066688	SDRF.tsv	not-sdrf	31	1	28	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD075459	SDRF.tsv	not-sdrf	25	13	25	yes	yes	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD077362	SDRF_HDF_repregrammed_DCs_3_DIA.txt	not-sdrf	20	3	20	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
