id	deposited_file	classification	n_rows	n_columns	n_raw_expected	row_match	has_source_name	has_assay_name	has_data_file	has_template_declaration	missing_core_columns	action
PXD023222	SDRF.tsv	full	162	17	18	no	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD027813	sdrf.tsv	full	20	17	20	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD030748	Stoilov_060821.sdrf.tsv	full	180	24	18	no	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD031000	sdrf.tsv	full	134	14	16	no	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD034334	sdrf.txt	full	36	26	18	no	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD035918	sdrf-tmt.tsv	full	288	21	18	no	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD040462	sdrf-walnut.tsv	full	20	14	20	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD048363	sdrf-Proteomic_Vaziri_et_al_2024.sdrf.tsv	full	18	16	18	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD055781	sdrf_liver_PTB.sdrf.tsv	full	9	15	17	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD063670	sdrf.tsv	full	18	25	18	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD065274	6.sdrf.tsv	full	16	15	16	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD073256	sdrf.tsv	full	18	15	18	yes	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD045896	SDRF_PSSH.tsv	legacy-case	8	23	19	no	yes	yes	yes	no	comment[fraction identifier];comment[technical replicate];comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD053749	sdrf.tsv	partial-technical	16	9	16	yes	no	no	yes	no	source name;characteristics[organism];assay name;technology type;comment[sdrf version]	author the sample section from PRIDE and the publication, then validate
PXD030447	SDRF.tsv	not-sdrf	220	1	19	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD050212	SDRF.tsv	not-sdrf	19	3	19	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD065028	SDRF.tsv	not-sdrf	18	4	18	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD067153	sdrf.tsv	not-sdrf	3561	1	16	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD067220	sdrf.tsv	not-sdrf	3788	1	16	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD068063	KAK386_SDRF_PRIDE.xlsx	not-sdrf	467	1	19	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
